,Content ID,reaction_Type,Datetime,category,content_type,sentiment,scores
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020,Studying,photo,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021,Studying,photo,negative,0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021,Studying,photo,negative,0
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021,healthy eating,photo,negative,0
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020,healthy eating,photo,negative,0
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021,dogs,video,negative,0
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021,dogs,video,negative,0
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11-02-2021,dogs,video,negative,0
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,27-05-2021,public speaking,photo,negative,0
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,13-02-2021,public speaking,photo,negative,0
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,07-11-2020,science,GIF,negative,0
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,31-03-2021,tennis,GIF,negative,0
296,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,11-09-2020,tennis,GIF,negative,0
300,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,13-10-2020,tennis,GIF,negative,0
304,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,23-07-2020,tennis,GIF,negative,0
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,08-12-2020,food,video,negative,0
319,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,05-01-2021,food,video,negative,0
322,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,08-11-2020,food,video,negative,0
329,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,19-04-2021,food,video,negative,0
340,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,18-10-2020,food,video,negative,0
359,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,08-02-2021,fitness,GIF,negative,0
371,f332d362-dc48-46c2-a64b-641157c0987e,disgust,15-02-2021,soccer,GIF,negative,0
